source_1_set_power_[W],set_pressure_[mTorr],qcm_1_mass_rate_[ng/cm2s],qcm_1_mass_rate_[ng/cm2s]_error,qcm_2_mass_rate_[ng/cm2s],qcm_2_mass_rate_[ng/cm2s]_error,qcm_3_mass_rate_[ng/cm2s],qcm_3_mass_rate_[ng/cm2s]_error,source_1_voltage_[V]_mean,source_1_voltage_[V]_std,n,n_error,A,A_error,synthetic
31,10,23.5268843,0.232215846,1.283529057,0.084700838,6.519534789,0.087945664,200.614,0.406,2.167189179,0.22810928,12353.37876,1805.560926,0
31,13,19.76477746,0.122172702,0.78055687,0.055153147,4.736522484,0.051741528,193.401,0.228,2.905992538,0.2405055,9402.204098,1645.778555,0
31,16,16.74153808,0.133509533,0.496137178,0.03613343,3.475085889,0.049461518,188.709,0.308,3.616530711,0.234450394,7534.861664,1445.083349,0
31,19,13.29828875,0.081841136,0.409763799,0.030936265,2.530612417,0.045992754,184.84,0.292,3.955515356,0.148278214,6111.5456,757.7253363,0
31,22,11.75522198,0.090647145,0.725815795,0.043025945,2.307877668,0.043242452,182.088,0.335,3.385907981,0.193640507,6355.851793,838.4976917,0
31,25,10.11549035,0.065962242,0.505726297,0.050627294,1.659450425,0.048909067,179.882,0.404,4.324120236,0.253726346,5534.249875,1027.941533,1
31,28,9.140150956,0.062244897,0.485521419,0.050623441,2.002874224,0.041772528,177.856,0.428,3.084169195,0.007928584,4666.167375,25.75254751,0
31,31,7.911301777,0.051719466,0.21915446,0.039468488,1.51103087,0.038280752,176.576,0.448,3.987728512,0.193775646,3555.158966,589.7332179,0
31,34,6.557081439,0.068579564,0.625263604,0.037656686,1.535248005,0.03085987,174.519,0.47,2.331399073,0.327202482,3965.432595,711.2294854,0
31,37,5.78869786,0.072702232,0.512380841,0.045443311,1.042231014,0.050308001,173.819,0.643,3.326011332,0.552256165,3555.031521,1192.620079,0
31,40,4.756699554,0.036411348,0.061274613,0.055636602,0.4167692,0.03819979,172.774,0.494,7.630144249,0.049225456,2647.013208,168.2719104,0
31,43,4.088557556,0.069507125,-0.026096772,0.047829008,0.671625768,0.036064056,171.747,0.683,5.230536728,0.691751082,1264.717557,1249.344546,0
34,1,3.825064201,0.062540462,0.375037204,0.053897894,1.410613556,0.036795787,886.3266667,0.751666667,0.718072144,0.212368412,3059.898966,325.3023093,1
34,4,33.06364103,0.207845594,3.097635255,0.031122108,12.32060291,0.079609453,235.107,0.361,0.724261417,0.249878024,25216.71433,3261.943303,0
34,7,28.71325768,0.191619986,2.004134055,0.055969698,9.118023325,0.066506749,211.603,0.389,1.504242252,0.242245483,17108.98106,2383.760646,0
34,10,25.61518195,0.156603901,1.595246291,0.054420066,7.408977175,0.059961839,200.748,0.208,1.924477638,0.198359146,14123.10894,1753.57113,0
34,13,22.64564412,0.138308604,0.922454899,0.032631256,5.83020501,0.065047582,194.016,0.132,2.606848257,0.292931329,10934.92756,2252.802106,0
34,16,17.98165554,0.121227344,0.85283757,0.04696357,3.52086886,0.045294945,189.37,0.257,3.597060713,0.036099703,9074.130422,242.2012956,0
34,19,15.70085173,0.106758168,0.350407424,0.049273831,3.121687361,0.052211026,185.349,0.325,3.901611874,0.286959918,6741.715935,1779.311688,0
34,22,13.25459158,0.248169332,0.58989647,0.074393229,2.327596503,0.121509785,183.045,0.441,4.066384188,0.102435059,6783.876085,528.816704,0
34,25,11.3268701,0.07094989,0.572919187,0.033247179,2.048442003,0.061954592,180.727,0.387,3.858712707,0.151750099,5935.493077,650.2236211,0
34,28,9.93398181,0.102143894,0.199372502,0.005479664,1.565540752,0.071577097,178.802,0.441,4.921347513,0.167995434,4408.873217,729.5183387,0
34,31,8.869897794,0.06067402,0.174295152,0.044276336,1.526007438,0.050712156,177.977,0.384,4.529509478,0.239426297,3808.932572,916.265966,1
34,34,7.737461426,0.075602115,0.39835735,0.053586624,1.515720989,0.048370819,176.4035,0.407,3.500592039,0.276136686,3909.238693,776.9298846,1
34,37,6.16571427,0.073255301,0.227876061,0.049812111,0.90295003,0.03726499,175.245,0.826,4.913285094,0.157291305,3246.774478,432.7993518,0
34,40,5.230431831,0.142295982,0.128142325,0.080509805,0.356442907,0.131294055,174.527,0.434,8.294996,0.602070037,4454.585162,2434.779425,0
34,43,4.831341616,0.068652963,0.130319019,0.050921443,0.574204454,0.069926081,173.443,0.94,5.963848787,0.160454537,2639.994132,410.8914043,0
37,1,3.656090381,0.060641247,0.414260328,0.055529408,1.412318598,0.036654135,886.3433333,0.742333333,0.439441817,0.175424038,3373.575312,278.8277524,1
37,4,35.69153062,0.209180567,2.951663248,0.043091718,12.91756647,0.081571856,234.893,0.433,0.917050943,0.288079573,25009.77274,3905.805335,0
37,7,31.43489748,0.193990838,2.103374106,0.023467708,10.21891501,0.088183817,211.617,0.256,1.444836471,0.282677464,18762.56741,3152.658902,0
37,10,28.89322194,0.168538782,1.325226259,0.044239325,7.975493497,0.053013546,200.728,0.145,2.275813324,0.307219567,14542.92008,2980.796784,0
37,13,24.1973698,0.144137177,1.326504095,0.033933149,5.984816279,0.051975624,194.425,0.235,2.598850594,0.110449239,12455.30641,915.0304426,0
37,16,20.54883447,0.119120774,0.679470679,0.042897329,4.013880003,0.071352629,189.773,0.267,3.815156442,0.139828323,9537.948405,1086.877931,0
37,19,17.63833554,0.136367869,0.55604711,0.070075929,3.694152257,0.076277007,186.144,0.309,3.553314647,0.217634579,8029.080111,1405.524164,0
37,22,14.95254149,0.120959826,0.661381059,0.061374419,2.693208193,0.084994542,183.741,0.335,3.97110886,0.075158779,7578.975479,433.6784671,0
