Duty Cycle (ratio),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
0.0375,15.3476762067,8.3169628467,35.1931486529,7.7164850157,2.5691871187,3.0018382294890804,0.5026159174,172,172.0
0.012,21.1865343743,39.7821592744,3.5981459643,3.7349884379,1.5036032944,1.75681008917696,1.6369964076,173,173.0
0.012,13.8760695043,16.8757109874,1.9218540744,99.2487913999,1.3580782642,1.58677864389128,1.4169878586,174,174.0
0.012,39.4088610592,36.1290556339,12.5643141592,0.2832689095,1.1515868322,1.3455140547424802,1.7686654813,175,175.0
0.012,5.2256214928,30.2333483717,0.5262156981,48.8077861304,0.9434246649,1.10229737846916,0.7074142321,176,176.0
0.025230278,28.691635322,33.1116330904,37.2291738633,2.1078855973,2.0795817342,2.4297832982392804,0.9680565105,177,177.0
0.0227538543,13.4767684561,38.9921989924,26.8104216433,95.3535883607,1.8486398203,2.1599507660385204,0.8121920974,178,178.0
0.0253440698,47.789229552,3.1470022095,32.1602889216,1.3827053759,1.5542056489,1.8159338801747602,0.9429400543,179,179.0
0.012,34.435121492,38.2610689083,6.9182853832,98.0304647201,1.9339034483,2.25957278899372,1.7582598995,180,180.0
0.0248267098,6.5517732648,3.0734595304,0.663435078,78.5810986313,1.3052804052,1.52508962543568,0.5234034625,181,181.0
0.0375,5.2045400643,8.7913307846,27.3850835722,99.2803280439,1.3468838316,1.57369906884144,0.3073644877,182,182.0
0.012,49.9435508767,38.4546456735,0.6438658529,81.9421772847,1.2013984097,1.40371390189348,1.7981074744,183,183.0
0.0244477872,10.3380856761,39.6208611997,0.3022269241,98.2463172953,1.9134232218,2.23564369235112,0.703955827,184,184.0
0.0375,27.847210472,11.5779461786,39.900927685,12.5960956126,2.2197454246,2.5935505541026402,0.6554605524,185,185.0
0.0255161069,21.0916926645,28.4503354481,38.3666591853,0.8952217378,1.8338390708,2.1426575703227204,0.8996475706,186,186.0
0.0375,29.1487641618,38.1927419338,39.6031199996,68.1952236551,2.188279362,2.5567856065608,0.6771152294,187,187.0
0.0375,24.2118730565,39.5045827047,2.1953026231,1.6970306358,1.999028644,2.3356650676496002,0.6346831294,188,188.0
0.0375,38.851511437,2.6121104739,9.1725202429,93.2963905716,1.8104436754,2.11532239033736,0.7030886952,189,189.0
0.0259901185,18.3311799224,3.0852207214,33.4663577521,65.1537889675,2.0010275732,2.3380006165268803,0.8000691222,190,190.0
0.0375,46.6542547078,4.6428864823,36.2334951635,2.095633632,1.5820545225,1.8484725040890002,0.657194816,191,191.0
0.0375,50.0,38.1375072241,6.8888006752,11.4223128999,2.2109159719,2.58323422156796,0.661523727,192,192.0
0.0232508977,26.0452217234,1.5114474047,27.5362910541,98.737743815,2.3441449876,2.73889900351184,0.9940299763,193,193.0
0.0375,34.3899756799,2.871037147,37.3206719062,12.20100328,1.9233432455,2.2472342480422003,0.6918294778,194,194.0
0.0253995725,14.394762137,4.0657076419,0.9313275346,6.5185975601,1.7498623122,2.0445391255744805,0.7896804107,195,195.0
0.025248194,5.2756001953,38.9473103843,28.2845588371,6.9328517627,0.9160329283,1.0702928734257202,0.4710077818,196,196.0
0.0375,9.3597699657,1.8884515688,39.7845228427,84.6889057851,2.6212982351,3.06272485789084,0.4458980738,197,197.0
0.0375,15.3947307398,37.578420463,33.9733446,98.8844423946,2.410194304,2.8160710247936,0.5047837469,198,198.0
0.012,42.7739912195,4.7873433216,37.6976173247,87.1675205699,1.1324265822,1.32312721864248,1.7253561273,199,199.0
0.0248670249,31.2167108186,1.6622848071,4.9782487341,50.2717608323,2.3130526594,2.70257072724296,0.9810938542,200,200.0
0.023965853,49.9514203785,4.514711868,22.1332797024,96.2548513504,1.3954000848,1.6303854590803202,1.0096450971,201,201.0
0.0375,41.1115407574,25.0694383504,3.3186662204,95.9738531498,2.5067755554,2.92891655892936,0.7152082963,202,202.0
0.0375,44.800995117,7.758501453,1.6405640996,0.6707008457,1.8768019068,2.19285534790512,0.7074142321,203,203.0
0.012,43.6716182255,31.129256622,3.2190696052,7.5071571486,1.3765856341,1.6084026548824402,1.7270836428,204,204.0
0.012,8.0680368649,34.0910246851,39.3144763333,3.2577709517,0.8835005293,1.0322820184341202,1.1848732047,205,205.0
0.0232818483,32.0088686321,7.9998274066,5.9455818529,98.6036806375,2.2386000766,2.61558032949944,1.0252635919,206,206.0
0.012,42.8343981846,3.5361997923,7.5930938256,96.0091430875,1.2267954641,1.4333878202544401,1.69589389,207,207.0
