Duty Cycle (ratio),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
0.012,5.8097382866,1.5884110705,0.2734207708,42.942152236,0.7083869071,0.5120489751543498,0.7559095067,140,140.0
0.0375,26.7596743464,37.614303817,6.7953050821,94.4209168744,1.7153251068,1.2399021695490984,0.5337854259,141,141.0
0.0375,25.3155976196,2.2436410582,1.7290513014,97.4276573118,1.2256182246,0.8859234262334148,0.5433238759,142,142.0
0.012,48.5291714121,28.5353150741,32.0664306156,98.6851468762,0.7254010838,0.5243474686118244,1.501879051,143,143.0
0.012,49.5386451519,31.2903763931,39.5566324147,22.9104112561,0.8348102973,0.6034326056797373,1.4966897564,144,144.0
0.0375,49.9836282147,1.8895315816,7.0672958748,83.9878372643,1.4270779519,1.0315461725954922,0.4753400668,145,145.0
0.012,38.032549557,2.5199061747,31.3026361267,97.7381528651,0.8780830904,0.6347118248985552,1.579839937,146,146.0
0.0375,5.4977989446,9.9316363019,6.1990332946,7.7119847961,0.8150163491,0.5891247877507457,0.2792248794,147,147.0
0.0375,49.2504889955,39.8352063555,16.9205720862,95.9253165507,2.2234327899,1.607181710985736,0.4922204578,148,148.0
0.0253906844,6.1762252135,2.8042718632,36.3497471498,3.9884709815,0.7393501534,0.5344303861833491,0.394381334,149,149.0
0.012,5.9994625876,38.4005429902,9.1677838137,70.5936683107,0.9466026529,0.6842403684169301,0.7931421899,150,150.0
0.012,7.4499923762,3.3325042807,31.6616751969,19.8083545083,0.7111747344,0.5140641226642272,0.994893734,151,151.0
0.012,45.8231947741,39.5823751422,36.2291576335,9.7912262449,1.015554723,0.7340815448638739,1.536523835,152,152.0
0.0375,33.7566858432,33.655566903,39.3213497941,0.9076680178,1.5165117759,1.0961923390680042,0.5164680951,153,153.0
0.012,7.9784720771,34.2543457288,0.3044527978,22.3591011988,0.6640069814,0.47996947842121324,0.936016496,154,154.0
0.012,42.8260429028,34.3594429473,1.4026009015,98.8749657412,0.9607948604,0.6944990353018151,1.515746412,155,155.0
0.0264757634,49.8048863722,38.3285146277,34.978861216,49.3803500069,1.1548162744,0.8347450861547471,0.6459423468,156,156.0
0.012,49.8418145857,26.7132108295,0.7165528097,1.3496726735,0.7838191282,0.5665742509898316,1.4776398489,157,157.0
0.0238098175,6.1310596106,9.9689559674,39.1632109672,82.5280315265,0.8124130955,0.587243057125029,0.4437336183,158,158.0
0.012,22.8905020325,35.557437848,3.0894993717,2.3264177113,1.4803447182,1.0700494154142517,1.4984105238,159,159.0
0.0375,14.9127503004,39.1792003503,8.7878476862,88.8901593227,1.2646608736,0.9141449365512768,0.4320458961,160,160.0
0.0375,7.2875411116,6.895782457,3.1815351651,95.696904214,1.0135229092,0.7326128726403096,0.3298778614,161,161.0
0.0244328622,7.459432803,37.283726652,31.8178025946,4.3603104904,1.0677584104,0.7718163538567152,0.4930875896,162,162.0
0.0375,49.4004992883,39.6998334586,29.1171173147,95.3638860751,1.772096102,1.280938402177476,0.4757719457,163,163.0
0.012,24.5534445389,2.4777823409,0.6373391388,85.7059222878,0.9846630927,0.7117519006010825,1.4499253713,164,164.0
0.012,5.3691515824,38.7201037301,36.9000306689,0.7435718184,0.4446136182,0.3213836185524516,0.5567492358,165,165.0
0.012,19.9048218287,34.1719582623,3.9680855524,99.5879265758,1.2119626805,0.8760526800472589,1.4308552195,166,166.0
0.0375,8.922185655,6.8904129819,37.2189379208,20.2540914506,0.9899178307,0.7155502249075265,0.3523895481,167,167.0
0.012,21.8812570988,4.6977991849,39.3915275731,2.5822038227,1.1204474527,0.8099019958147625,1.4187423665,168,168.0
0.0375,5.0694379604,26.4711617338,0.5591514417,10.4776225866,0.8594652501,0.6212541424517838,0.255847748,169,169.0
0.0375,47.7415394876,3.2095537558,35.8901868518,14.7542441442,2.0082432336,1.4516345224889569,0.4878915468,170,170.0
0.0223341481,49.9881104738,1.9584956455,29.9515136411,93.6275174456,1.0503411456,0.7592264930032128,0.7602417917,171,171.0
0.0375,18.1607700637,37.1639536783,0.3772202657,0.3348777906,1.3489030821,0.9750384060589998,0.4831290699,172,172.0
0.012,26.1192183061,38.9092690789,35.2760330119,21.7232997709,0.9054338205,0.654481971942579,1.5625040489,173,173.0
0.0375,36.5896691113,38.0592400102,34.8179398703,3.6301326771,1.322706924,0.956102827530312,0.5199450574,174,174.0
0.0375,32.4805200967,6.251709734,38.1837488143,3.4707284174,1.3037419588,0.9423942300150745,0.5433221889,175,175.0
0.012,8.0516547379,21.9815854944,39.1316997123,95.3402026611,0.6333461842,0.4578066890947596,0.9368768798,176,176.0
0.012,30.4830798001,39.9118329236,37.6990349274,89.4806383052,1.0322324829,0.7461368634744702,1.5573080061,177,177.0
0.0375,27.4657849725,9.265166406,38.1299640903,90.8822453976,1.2757465584,0.9221580907807392,0.5329267293,178,178.0
0.0375,47.10223195,36.0026300404,4.5412900366,3.1903486386,1.1882268493,0.8588955192943134,0.4904895682,179,179.0
0.012,8.6057182331,4.8044837206,38.2944730464,97.3773369689,0.702329965,0.5076707872406699,0.9671893787,180,180.0
0.012,28.7897877519,6.2278039271,38.9153850372,1.5798535275,0.9521938554,0.6882819020496251,1.5278525168,181,181.0
0.0241988065,47.4628461355,3.1343658569,9.7527961186,1.6165404511,1.0922852969,0.7895453194406022,0.7204077131,182,182.0
0.0375,42.3645832248,39.5636100288,6.2411288375,0.7199139445,1.432213196,1.035258122170248,0.5151673973,183,183.0
0.0375,8.3748375708,11.9326416521,0.0558165565,93.2574465023,1.0541954272,0.7620125142063936,0.3606121171,184,184.0
0.012,5.2186376185,5.7486184573,4.4948947053,0.6255888156,0.6469313842,0.46762658789235956,0.5896631302,185,185.0
0.0375,7.436307176,7.8755683334,38.5869533907,98.2583676776,1.1124578054,0.8041267751397252,0.3571503379,186,186.0
0.012,5.0904868844,30.2137193683,39.6283309433,91.8137069135,0.7440308796,0.5378137929483048,0.5515565671,187,187.0
0.012,31.4852958995,39.8738705536,3.2439209465,77.0896355328,1.0598279654,0.7660839268538052,1.5694343553,188,188.0
0.0375,7.4005459214,37.1598076195,36.8675388164,3.5312129584,0.9508524073,0.6873122523879174,0.3342067724,189,189.0
0.012,47.3840203962,39.5157052413,0.3679386196,14.2748315113,1.0687769722,0.7725526090311036,1.519201443,190,190.0
0.0375,31.6686068145,39.9078727675,38.1837271657,75.3197650918,1.6678311029,1.20557169875803,0.525567918,191,191.0
0.0375,40.4718131582,3.7098861003,2.6961749053,87.4284402275,1.205734779,0.8715509161828019,0.5147372055,192,192.0
0.0375,24.416474097,2.7155881438,36.0657587913,4.9775136103,1.423451785,1.02892504136583,0.5316294056,193,193.0
0.012,13.0250251094,38.8775321257,1.2129425869,25.830253659,0.8135486775,0.588063898946745,1.1952652902,194,194.0
0.012,33.8752218021,1.588639936,8.0554536406,4.4923699723,0.8617182595,0.622882703260461,1.5555804906,195,195.0
0.012,49.4444354986,39.7902077754,28.5013425168,97.3478873569,0.8292596558,0.5994203910791605,1.5088093574,196,196.0
0.0375,6.0883428983,2.0971720135,3.1767290874,6.7018148254,0.9890527013,0.7149248765022894,0.2913444805,197,197.0
0.0375,49.4687003327,37.1728256368,37.8808532136,94.3206265845,2.1000916589,1.518026054535958,0.4779380882,198,198.0
0.012,32.6504684203,3.8268830796,4.8580696103,92.7115329194,0.9746130337,0.7044873360536406,1.5261250013,199,199.0
0.0375,19.4063047555,8.3355767419,38.0650424985,0.6000895039,1.2288444201,0.8882554429362437,0.4870311631,200,200.0
0.0375,41.3400003947,2.7250377058,39.2279124699,73.5535837743,1.2557264462,0.9076867929183156,0.5069482024,201,201.0
0.012,45.6773563391,3.7801625051,39.7978350663,6.1911747331,0.7714120766,0.5576059626253907,1.5122778847,202,202.0
0.0238541974,7.8375522296,2.5188811385,3.0158739958,90.6355141313,1.1033448662,0.7975395963942756,0.4965578039,203,203.0
0.0375,32.4203153991,39.6767467119,34.8590093439,97.482571606,1.6356267914,1.1822931986419931,0.5320663456,204,204.0
0.0375,48.0012228338,2.5440841808,0.4977335968,88.9126351924,1.1849803279,0.8565488102585801,0.4649479813,205,205.0
0.0229819998,49.4652638069,11.6479796061,39.7053375838,94.7330229126,1.0840297034,0.7835778627462491,0.7264708877,206,206.0
0.0375,15.4836164997,2.0480062417,34.0391349594,95.6201732657,1.4000611059,1.0120173696665442,0.4515259954,207,207.0
0.012,17.336812983,3.0199621039,39.9774514098,95.1469802928,0.7809118081,0.5644727295433878,1.3684892099,208,208.0
0.0250859206,28.0630122505,39.3463254784,1.476303592,9.4420913069,1.1259158879,0.8138547885778602,0.7844809939,209,209.0
0.012,45.927477126,2.777039901,0.1657013081,80.5621278973,0.7593608052,0.5488948457091576,1.4897594499,210,210.0
0.0375,28.4804352037,4.4194622113,0.0196168461,1.5665245992,1.4488634997,1.0472935943961486,0.5463588373,211,211.0
0.0249365754,48.8681097762,37.143218563,21.2210941539,4.6912553736,1.023943429,0.740145220331502,0.7013544316,212,212.0
0.012,49.6459154258,34.2286896431,33.5366094946,92.2384324249,0.8451375877,0.6108975636178926,1.49842402,213,213.0
0.0375,48.8530319605,2.3283430201,1.5962970827,97.8043301989,1.514325419,1.094611957219122,0.4939530344,214,214.0
0.012,49.8298247186,2.1263210957,30.8929078093,8.8733161182,0.7601851613,0.5494907216237694,1.5261250013,215,215.0
0.0375,23.4080600672,2.0470085517,36.3385717552,76.4135655587,1.5045411734,1.0875395326981092,0.5268703028,216,216.0
0.012,41.8542008295,7.465340393,1.7629761677,2.2292849649,0.7110814533,0.5139966955404655,1.5659725761,217,217.0
0.0250441923,8.4772697455,39.7898767628,3.4162111469,12.6181016353,0.9844900488,0.7116268178944944,0.512574437,218,218.0
0.0375,43.881047807,33.4916777081,38.3040278498,5.4778893208,1.5801408927,1.1421858825974827,0.4978500664,219,219.0
0.012,5.7575590041,2.7151943806,29.7921212529,73.9249458623,0.586289325,0.42379220310434995,0.7706271292,220,220.0
0.012,35.1350625094,39.655194766,38.6224552236,89.137449756,1.0958732565,0.792138832981947,1.5607765333,221,221.0
0.0375,18.2768646409,36.3989385976,7.662149771,99.9427968322,1.3620215171,0.9845209093775298,0.4649462942,222,222.0
