PRR (Hz),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
550.8967354894,138.2180260494,5.7759580859,39.4230311736,76.586053241,2.2396013034,2.6167501628925605,0.1878808092,120,120.0
609.4577172771,126.347373426,39.2688334836,38.0313370377,3.0227121897,2.3,2.68732,0.188747941,121,121.0
319.5621266961,276.388373971,38.5272093732,0.8834047243,94.7517048568,2.217892352,2.5913854240768,0.1662430025,122,122.0
755.6666171178,148.478176631,3.4010631549,37.3867423832,98.1626681052,2.3144272037,2.7041767448030805,0.1238007803,123,123.0
479.7622781247,286.096424982,39.7333900863,9.0291963145,82.2608889081,2.2799531677,2.66389728114068,0.1012890937,124,124.0
340.827890113,285.7725799084,5.4647107082,5.0731151551,5.4804663174,2.3670369886,2.76564601748024,0.1506548741,125,125.0
616.4785267785,287.4485837296,39.8723753737,38.1816462427,85.7895587571,2.427087661,2.8358092231124,0.0753190019,126,126.0
275.4739686847,278.8557542488,39.5420181896,4.9703729153,3.8183815777,2.2064083821,2.57796755364564,0.1913425884,127,127.0
794.4908583537,285.3932755068,11.7082475116,0.4635477811,97.7134384215,2.3174876033,2.70775251569572,0.0553985886,128,128.0
391.0900417715,127.9751067981,3.10536086,2.8927995637,97.3572514951,2.1138584007,2.46983215537788,0.272734887,129,129.0
238.0378002301,161.6933653131,35.8963287808,38.7750499323,9.206270799,1.9681791012,2.29962046184208,0.33681829,130,130.0
542.4394516274,177.3851171136,2.4159796485,4.7990866005,2.1517343819,2.3080609189,2.69673837764276,0.1419936782,131,131.0
204.8708206043,297.9663394392,2.0649124798,2.9102040082,78.7907190621,2.1258598427,2.4838546402106805,0.2450305317,132,132.0
788.7728530914,103.8833761588,36.2323410888,30.425131768,27.2871404886,2.2841899477,2.66884753489268,0.1904788306,133,133.0
698.5133217648,274.6298028156,1.6137240035,1.068380326,5.3771069273,2.2994159472,2.6866375927084802,0.0666679281,134,134.0
209.5802348107,148.3461214229,38.6210742891,21.7869161069,76.3179414906,1.7988299292,2.10175288927728,0.4034895922,135,135.0
202.6764629409,108.3168569952,2.3444436118,34.3473488092,97.826031968,1.6647827119,1.9451321205839602,0.5827294497,136,136.0
226.5617365018,293.8181143254,29.8484680904,17.2497551143,94.5044119842,2.2199313557,2.5937677959998804,0.2268443819,137,137.0
792.045471631,272.0370767638,2.7584007718,35.8149219304,88.395483233,2.3870879869,2.7890736038939603,0.0588637418,138,138.0
